hex	poi
14.00	doorway
16.01	doorway
19.01	doorway
18.02	doorway
08.01	doorway
16.04	doorway
13.17	doorway
20.20	doorway
23.23	doorway
29.24	doorway
18.26	ziggurat
09.24	doorway
02.22	fortress
17.18	fortress
15.18	fortress
16.16	fortress
43.12	fortress
20.00	fortress
07.04	fortress
15.07	house
13.03	garrison
03.08	house
04.06	village
17.11	fortress
15.11	garrison
13.10	house
14.14	village
15.13	village
17.14	village
16.15	village
09.19	fortress
08.21	garrison
26.16	fortress
25.15	temple
26.17	doorway
25.17	house
21.16	temple
20.16	tower
21.14	tower
20.18	garrison
23.19	ruin
37.21	tower
33.16	temple
40.20	village
21.27	mining
24.26	city
31.27	battle
38.28	ruin
22.25	ruin
19.30	tower
19.31	city
23.32	obelisk
39.32	prison
48.32	village
49.32	village
48.33	village
43.27	oasis
51.12	volcano
39.12	prison
46.10	tower
43.08	tower
40.06	tower
34.04	tower
31.04	garrison
30.03	garrison
37.01	pool
39.00	temple
46.01	obelisk
43.03	doorway
50.04	doorway
18.03	village
20.04	temple
22.03	village
14.02	ruin
15.01	obelisk
18.01	demon
17.01	pool
08.03	house
05.04	vineyard
02.05	ruin
03.04	temple
08.05	village
13.06	tower
05.07	pool
03.07	campsite
04.08	henge
06.10	ziggurat
06.03	henge
11.03	house
17.07	garrison
20.08	village
18.06	house
13.08	ruin
18.07	ruin
21.06	tower
13.12	ruin
15.16	temple
13.20	temple
05.18	henge
03.19	ruin
05.20	ruin
09.22	pool
08.28	city
14.27	temple
18.28	cactus
15.28	campsite
03.31	garrison
07.17	tower
08.16	tower
26.20	city
33.16	temple
39.14	village
28.11	tower
33.12	village
33.01	mining
29.01	garrison
25.04	house
24.07	tower
29.07	garrison
33.08	pool
18.11	tower
15.13	village
03.13	temple
05.12	henge
12.28	pit
10.09	statue
15.15	grave
13.30	grave
51.29	henge
48.18	city
51.17	grave
48.13	village
29.14	city
42.02	grave
34.01	grave
34.00	statue
46.06	pool
20.13	garrison
22.11	bridge
23.11	village
11.16	grave
