terrain,hex-color,symbol-color,symbol,symbol-two,symbol-font,symbol-two-font
mountain-range,b28000,424826,⛰️,⛰️,noto,noto
snowy-mountains,b28000,424826,🗻,🗻,,
lone-mountain,c68f00,424826,⛰️,,noto,
foothills,cd9b00,545556,🌄,,,
brown-hills,e7ce5a,826f0c,◠,◠,,
desert,f8f085,ede068,⁙,⁙,,
farmland,a0d76b,ada003,🌾,,,
grassland,c8ee8c,81ab51,🌱,🌱,openmoji,openmoji
grassy-hills,d7f796,5f8c1d,🌱,◠,openmoji,
greenery,a0d76b,,️,,,
green-hills,c3d263,3e6a0a,◠,◠,,
grey-tree,b0b0b0,434343,🪾,,,
hill-forest,8ebd52,426600,🌳,◠,,
hill-pine-forest,488a21,315b0f,🌲,◠,,
hilly-savannah,dadc71,628935,🌿,◠,,
jungle,559e64,206e57,🌴,,noto,
lone-tree,95c663,538000,🌳,,,
mountainous-forest,879333,435e1c,🏞,️,openmoji,
oak-forest,7aad43,538000,🌳,🌳,,
pine-forest,2f7621,315b0f,🌲,🌲,,
pine-grass,a0d79d,14785d,🌱,🌲,openmoji,
plains,e7f79c,729641,🌱,🌱,openmoji,openmoji
sand,fff899,fffdef,⁙,⁙,,
savannah,dadc80,628935,🌿,,,
swamp,addea5,24a066,🌫,🌫,,
water,99ccff,,,,,
storage,,,🏜🌋≈〰🌅🏞️〰♒,,,
